date,close
2015-06-15,0.88660
2015-06-16,0.88890
2015-06-17,0.88150
2015-06-18,0.87910
2015-06-19,0.88050
2015-06-22,0.88150
2015-06-23,0.89480
2015-06-24,0.89220
2015-06-25,0.89250
2015-06-26,0.89560
2015-06-29,0.89140
2015-06-30,0.89830
2015-07-01,0.90510
2015-07-02,0.90140
2015-07-03,0.89920
2015-07-06,0.90430
2015-07-07,0.90850
2015-07-08,0.90260
2015-07-09,0.90290
2015-07-10,0.89600
2015-07-13,0.90820
2015-07-14,0.90780
2015-07-15,0.91210
2015-07-16,0.91890
2015-07-17,0.92300
2015-07-20,0.92320
2015-07-21,0.91410
2015-07-22,0.91470
2015-07-23,0.91020
2015-07-24,0.91050
2015-07-27,0.90180
2015-07-28,0.90380
2015-07-29,0.90980
2015-07-30,0.91460
2015-07-31,0.91030
2015-08-03,0.91270
2015-08-04,0.91810
2015-08-05,0.91700
2015-08-06,0.91480
2015-08-07,0.91160
2015-08-10,0.90740
2015-08-11,0.90510
2015-08-12,0.89610
2015-08-13,0.89620
2015-08-14,0.90000
2015-08-17,0.90260
2015-08-18,0.90650
2015-08-19,0.89940
2015-08-20,0.88990
2015-08-21,0.87830
2015-08-24,0.86190
2015-08-25,0.86720
2015-08-26,0.88160
2015-08-27,0.88930
2015-08-28,0.89400
2015-08-31,0.89110
2015-09-01,0.88460
2015-09-02,0.89100
2015-09-03,0.89910
2015-09-04,0.89700
2015-09-07,0.89490
2015-09-08,0.89200
2015-09-09,0.89120
2015-09-10,0.88560
2015-09-11,0.88160
2015-09-14,0.88390
2015-09-15,0.88690
2015-09-16,0.88540
2015-09-17,0.87570
2015-09-18,0.88380
2015-09-21,0.89370
2015-09-22,0.89810
2015-09-23,0.89340
2015-09-24,0.89440
2015-09-25,0.89300
2015-09-28,0.88990
2015-09-29,0.88810
2015-09-30,0.89480
2015-10-01,0.89330
2015-10-02,0.89180
2015-10-05,0.89330
2015-10-06,0.88730
2015-10-07,0.88980
2015-10-08,0.88560
2015-10-09,0.88050
2015-10-12,0.88030
2015-10-13,0.87790
2015-10-14,0.87130
2015-10-15,0.87880
2015-10-16,0.88100
2015-10-19,0.88250
2015-10-20,0.88060
2015-10-21,0.88150
2015-10-22,0.90020
2015-10-23,0.90730
2015-10-26,0.90390
2015-10-27,0.90570
2015-10-28,0.91460
2015-10-29,0.90990
2015-10-30,0.90830
2015-11-02,0.90770
2015-11-03,0.91200
2015-11-04,0.91990
2015-11-05,0.91850
2015-11-06,0.93100
2015-11-09,0.92960
2015-11-10,0.93250
2015-11-11,0.92920
2015-11-12,0.92510
2015-11-13,0.92760
2015-11-16,0.93580
2015-11-17,0.93910
2015-11-18,0.93780
2015-11-19,0.93180
2015-11-20,0.93910
2015-11-23,0.93990
2015-11-24,0.93910
2015-11-25,0.94120
2015-11-26,0.94260
2015-11-27,0.94400
2015-11-30,0.94510
2015-12-01,0.94100
2015-12-02,0.94240
2015-12-03,0.91490
2015-12-04,0.91850
2015-12-07,0.92290
2015-12-08,0.91770
2015-12-09,0.90750
2015-12-10,0.91380
2015-12-11,0.90960
2015-12-14,0.90880
2015-12-15,0.91450
2015-12-16,0.91780
2015-12-17,0.92280
2015-12-18,0.92010
2015-12-21,0.91630
2015-12-22,0.91300
2015-12-23,0.91660
2015-12-24,0.91170
2015-12-25,0.91080
2015-12-28,0.91100
2015-12-29,0.91520
2015-12-30,0.91500
2015-12-31,0.92170
2016-01-01,0.92040
2016-01-04,0.92310
2016-01-05,0.92960
2016-01-06,0.92770
2016-01-07,0.91530
2016-01-08,0.91470
2016-01-11,0.92040
2016-01-12,0.92160
2016-01-13,0.91880
