date,close
2011-06-01,1540.2
2011-06-02,1531.9
2011-06-03,1540.5
2011-06-06,1542
2011-06-07,1543.75
2011-06-08,1535.55
2011-06-09,1542.35
2011-06-10,1529.9
2011-06-13,1514.73
2011-06-14,1522.1
2011-06-15,1530.2
2011-06-16,1528.35
2011-06-17,1539
2011-06-20,1539.95
2011-06-21,1545.7
2011-06-22,1545.8
2011-06-23,1518.85
2011-06-24,1500.15
2011-06-27,1495
2011-06-28,1500.5
2011-06-29,1511.55
2011-06-30,1499.6
2011-07-01,1484.5
2011-07-04,1495.54
2011-07-05,1515.7
2011-07-06,1527.5
2011-07-07,1530.55
2011-07-08,1542.25
2011-07-11,1553.6
2011-07-12,1565.2
2011-07-13,1581.75
2011-07-14,1586.75
2011-07-15,1592.1
2011-07-18,1603.4
2011-07-19,1587.85
2011-07-20,1600.1
2011-07-21,1587.9
2011-07-22,1597.25
2011-07-25,1614.05
2011-07-26,1618.8
2011-07-27,1613
2011-07-28,1616.35
2011-07-29,1626.14
2011-08-01,1618.1
2011-08-02,1659.25
2011-08-03,1660.7
2011-08-04,1647.9
2011-08-05,1664.5
2011-08-08,1716.85
2011-08-09,1743.4
2011-08-10,1794.5
2011-08-11,1765.9
2011-08-12,1745.99
2011-08-15,1765
2011-08-16,1785
2011-08-17,1788.15
2011-08-18,1823.85
2011-08-19,1851.95
2011-08-22,1897.1
2011-08-23,1829.65
2011-08-24,1750.55
2011-08-25,1770.59
2011-08-26,1828.05
2011-08-29,1787.1
2011-08-30,1834.44
2011-08-31,1823.3
2011-09-01,1824.55
2011-09-02,1883.7
2011-09-05,1898.99
2011-09-06,1872.9
2011-09-07,1816.46
2011-09-08,1868.26
2011-09-09,1857.31
2011-09-12,1813.25
2011-09-13,1833.3
2011-09-14,1819.2
2011-09-15,1788.64
2011-09-16,1810.84
2011-09-19,1777.64
2011-09-20,1803.25
2011-09-21,1781.29
2011-09-22,1735.33
2011-09-23,1655.29
2011-09-26,1626.85
2011-09-27,1649.45
2011-09-28,1607.94
2011-09-29,1614.05
2011-09-30,1623.25
2011-10-03,1660.09
2011-10-04,1623.44
2011-10-05,1640.4
2011-10-06,1649.68
2011-10-07,1638.59
2011-10-10,1674.94
2011-10-11,1662.24
2011-10-12,1676.7
2011-10-13,1666.2
2011-10-14,1679.09
2011-10-17,1669.15
2011-10-18,1654.29
2011-10-19,1641.3
2011-10-20,1618.6
2011-10-21,1640.52
2011-10-24,1652.18
2011-10-25,1703.35
2011-10-26,1723.75
2011-10-27,1743.95
2011-10-28,1742.09
2011-10-31,1713.25
2011-11-01,1718.3
2011-11-02,1735
2011-11-03,1762.65
2011-11-04,1753.29
2011-11-07,1795.25
2011-11-08,1784.5
2011-11-09,1771.49
2011-11-10,1758.34
2011-11-11,1788.49
2011-11-14,1780.5
2011-11-15,1780.9
2011-11-16,1761.49
2011-11-17,1718.69
2011-11-18,1722.35
2011-11-21,1680.19
2011-11-22,1698.69
2011-11-23,1692.44
2011-11-24,1694.25
2011-11-25,1679.63
2011-11-28,1711.7
2011-11-29,1715.89
2011-11-30,1745.1
2011-12-01,1744.39
2011-12-02,1744.39
2011-12-05,1720.69
2011-12-06,1727.34
2011-12-07,1741.24
2011-12-08,1708.19
2011-12-09,1710.39
2011-12-12,1665.44
2011-12-13,1631.49
2011-12-14,1574.3
2011-12-15,1569.99
2011-12-16,1597.49
2011-12-19,1593.5
2011-12-20,1614.79
2011-12-21,1614.29
2011-12-22,1603.84
2011-12-23,1605.74
2011-12-26,1604.96
2011-12-27,1592.04
2011-12-28,1552.14
2011-12-29,1545.99
2011-12-30,1563.8
2012-01-02,1565.41
2012-01-03,1603.69
2012-01-04,1611.54
2012-01-05,1622.5
2012-01-06,1616.39
2012-01-09,1611
2012-01-10,1630.88
