window,k,weighted,sharpe,annual_return,annual_vol,max_dd,win_rate
3,20,True,1.7841917722106064,0.20714647458373206,0.11610101436970446,-0.4140487337845743,0.2965494791666667
2,15,True,1.6898987452021266,0.17560425168294547,0.10391406714840877,-0.4888773642674823,0.24210868857793688
3,10,True,1.528777392223577,0.1663035506458219,0.10878205780106195,-0.46349551047880133,0.2548828125
5,50,True,1.4661818475797554,0.1597991913481176,0.10899002167561964,-0.3710304073607046,0.26677524429967425
4,15,True,1.3834018964744115,0.16550005043372762,0.11963266123568514,-0.4003086746278449,0.2728752849234777
3,15,True,1.3631056115834326,0.15159504936340254,0.11121298898278635,-0.5701936591856946,0.2822265625
4,20,True,1.3469443686164415,0.1518115878448081,0.11270813508114401,-0.3644539092954143,0.2660371214588082
3,40,True,1.3346149061818646,0.1488562882079619,0.1115350109746771,-0.49096180031299697,0.26953125
2,30,True,1.253636096586059,0.14307400758639635,0.11412722398152061,-0.634448998758087,0.2844126260982753
3,50,True,1.2527187803184054,0.14225971301775378,0.11356077297858934,-0.545217156007457,0.2731119791666667
5,20,True,1.2508988676387334,0.1402361282486786,0.11210828619055044,-0.3792986027144749,0.27003257328990227
4,30,True,1.2472979773552904,0.144145399975182,0.11556612981993353,-0.47525759907432596,0.27906219472484534
3,30,True,1.2308421419432116,0.14525887053419295,0.11801584101179963,-0.5926557508737478,0.2994791666666667
5,15,True,1.2052220775861917,0.13622306111776528,0.11302735292618572,-0.39830210895751317,0.25732899022801303
2,50,True,1.1971784896554267,0.13989540715593946,0.11685426055074238,-0.6145309741322885,0.28636511552229094
4,10,True,1.177489909616732,0.14295496907612046,0.12140653427990031,-0.47897001088273194,0.2591989579941387
5,30,True,1.1606495550846527,0.12641209710820892,0.10891495762387035,-0.5060509804513744,0.26058631921824105
4,40,True,1.1384504428650486,0.13015403432114245,0.11432560383884084,-0.5379231892194876,0.2823184630413546
5,40,True,1.1192522433184628,0.12233322093099566,0.10929906253150837,-0.4959770513812938,0.2732899022801303
5,10,True,1.1187658560624423,0.13374708077575528,0.11954876889654592,-0.333676034065966,0.25960912052117263
2,20,True,1.117041542088665,0.12156279053502211,0.108825666687133,-0.608648764273988,0.24275951838594206
2,10,True,1.0945879659794187,0.12352807172717314,0.11285348968425973,-0.4200607323586417,0.23722746501789782
4,50,True,0.9205366753585851,0.10553640233370874,0.11464660252954961,-0.5956993064390557,0.2696190166069684
2,40,True,0.8066277014740525,0.09452330850174943,0.11718331558538726,-0.7408173003483377,0.27985681744223884
