trend_window,xau_horizon,sharpe,annual_return,annual_vol,max_dd,win_rate
1,1,1.7624441764036107,0.24533167357770685,0.1391996846551606,-0.4778154815318426,0.36337020169160705
2,1,1.5991783998995646,0.1994096752330532,0.12469507795101349,-0.20885150494961768,0.2974292222583794
3,1,1.4610454531324177,0.18912055128516633,0.12944193548510086,-0.21245996760715102,0.3115234375
5,1,1.2335623451453033,0.1618431323474899,0.13119979949487365,-0.2410865293579998,0.3228013029315961
2,3,0.9782159264754748,0.11601958644364053,0.11860324832540875,-0.1831019754684513,0.314453125
3,3,0.9118234519798921,0.11484735747966215,0.12595350254513393,-0.20140402166251858,0.361328125
10,1,0.8810648880608396,0.11138453348614975,0.12642035223001466,-0.3565913679213959,0.29070146818923326
1,3,0.8042630721875373,0.10543745604163078,0.13109821859015425,-0.1901389446744084,0.3125
5,3,0.7782360076520459,0.10321216830079805,0.13262322391403,-0.28055129083556296,0.3509286412512219
3,5,0.751938234668086,0.09575160503541141,0.12733972103131216,-0.2582076818979846,0.33876221498371334
2,5,0.5013657766958534,0.05917870993994281,0.1180350009726387,-0.28481713430998257,0.30618892508143325
10,5,0.2638254160065616,0.033071119850983134,0.12535228922053748,-0.4264456216475204,0.3295269168026101
5,5,0.24561933615636541,0.03023226720590781,0.12308585992863948,-0.34871043093248033,0.31921824104234525
1,5,0.13863862848687517,0.016430350833097622,0.11851206992179006,-0.30488846646896306,0.2915309446254072
10,3,0.0954236742803499,0.012061433013726416,0.12639874857774328,-0.38578618525339525,0.29774730656219395
